experiment_id,planner,phase,grid_width,grid_height,density,update_mode,map_id,seed,repetition,warmup,status,success,path_cost,expanded_nodes,elapsed_us,free_heap_before,free_heap_after,since_boot_minimum_free_heap_before,since_boot_minimum_free_heap_after,failed_alloc_bytes,failure_stage,failure_reason,update_x,update_y,psram_enabled,cpu_frequency_mhz,esp_idf_version,firmware_git_commit
esp32_20260808T131736Z_DStarLite_dynamic_100x100_density20_i0,DStarLite,repair,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i6,7826,1,0,OK,1,1482,1813,551443,152308,125760,46480,46480,0,none,none,48,55,0,160,v5.2.2,unavailable
esp32_20260808T131736Z_DStarLite_dynamic_100x100_density20_i0,DStarLite,initial,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i6,7826,2,0,OK,1,1470,1199,988542,259428,151280,46480,46480,0,none,none,48,55,0,160,v5.2.2,unavailable
esp32_20260808T131736Z_DStarLite_dynamic_100x100_density20_i0,DStarLite,repair,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i6,7826,2,0,OK,1,1482,1813,551443,152308,125760,46480,46480,0,none,none,48,55,0,160,v5.2.2,unavailable
esp32_20260808T131736Z_DStarLite_dynamic_100x100_density20_i0,DStarLite,initial,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i7,7827,0,0,OK,1,1476,1461,1225801,259428,133496,46480,46480,0,none,none,53,43,0,160,v5.2.2,unavailable
esp32_20260808T131736Z_DStarLite_dynamic_100x100_density20_i0,DStarLite,repair,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i7,7827,0,0,OK,1,1482,2064,544240,134524,112468,46480,46480,0,none,none,53,43,0,160,v5.2.2,unavailable
esp32_20260808T131736Z_DStarLite_dynamic_100x100_density20_i0,DStarLite,initial,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i7,7827,1,0,OK,1,1476,1461,1225831,259428,133496,46480,46480,0,none,none,53,43,0,160,v5.2.2,unavailable
esp32_20260808T131736Z_DStarLite_dynamic_100x100_density20_i0,DStarLite,repair,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i7,7827,1,0,OK,1,1482,2064,544227,134524,112468,46480,46480,0,none,none,53,43,0,160,v5.2.2,unavailable
esp32_20260808T131736Z_DStarLite_dynamic_100x100_density20_i0,DStarLite,initial,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i7,7827,2,0,OK,1,1476,1461,1225837,259428,133496,46480,46480,0,none,none,53,43,0,160,v5.2.2,unavailable
esp32_20260808T131736Z_DStarLite_dynamic_100x100_density20_i0,DStarLite,repair,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i7,7827,2,0,OK,1,1482,2064,544235,134524,112468,46480,46480,0,none,none,53,43,0,160,v5.2.2,unavailable
esp32_20260808T131736Z_DStarLite_dynamic_100x100_density20_i0,DStarLite,initial,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i8,7828,0,0,OK,1,1446,972,821096,259428,165500,46480,46480,0,none,none,48,52,0,160,v5.2.2,unavailable
esp32_20260808T131736Z_DStarLite_dynamic_100x100_density20_i0,DStarLite,repair,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i8,7828,0,0,OK,1,1452,1624,571414,166528,148736,46480,46480,0,none,none,48,52,0,160,v5.2.2,unavailable
esp32_20260808T131736Z_DStarLite_dynamic_100x100_density20_i0,DStarLite,initial,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i8,7828,1,0,OK,1,1446,972,821168,259428,165500,46480,46480,0,none,none,48,52,0,160,v5.2.2,unavailable
esp32_20260808T131736Z_DStarLite_dynamic_100x100_density20_i0,DStarLite,repair,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i8,7828,1,0,OK,1,1452,1624,571418,166528,148736,46480,46480,0,none,none,48,52,0,160,v5.2.2,unavailable
esp32_20260808T131736Z_DStarLite_dynamic_100x100_density20_i0,DStarLite,initial,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i8,7828,2,0,OK,1,1446,972,821169,259428,165500,46480,46480,0,none,none,48,52,0,160,v5.2.2,unavailable
esp32_20260808T131736Z_DStarLite_dynamic_100x100_density20_i0,DStarLite,repair,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i8,7828,2,0,OK,1,1452,1624,571410,166528,148736,46480,46480,0,none,none,48,52,0,160,v5.2.2,unavailable
esp32_20260808T131736Z_DStarLite_dynamic_100x100_density20_i0,DStarLite,initial,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i9,7829,0,0,OK,1,1452,1000,845050,259428,164912,46480,46480,0,none,none,52,48,0,160,v5.2.2,unavailable
esp32_20260808T131736Z_DStarLite_dynamic_100x100_density20_i0,DStarLite,repair,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i9,7829,0,0,OK,1,1452,1032,39319,165940,164780,46480,46480,0,none,none,52,48,0,160,v5.2.2,unavailable
esp32_20260808T131736Z_DStarLite_dynamic_100x100_density20_i0,DStarLite,initial,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i9,7829,1,0,OK,1,1452,1000,845109,259428,164912,46480,46480,0,none,none,52,48,0,160,v5.2.2,unavailable
esp32_20260808T131736Z_DStarLite_dynamic_100x100_density20_i0,DStarLite,repair,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i9,7829,1,0,OK,1,1452,1032,39319,165940,164780,46480,46480,0,none,none,52,48,0,160,v5.2.2,unavailable
esp32_20260808T131736Z_DStarLite_dynamic_100x100_density20_i0,DStarLite,initial,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i9,7829,2,0,OK,1,1452,1000,845117,259428,164912,46480,46480,0,none,none,52,48,0,160,v5.2.2,unavailable
esp32_20260808T131736Z_DStarLite_dynamic_100x100_density20_i0,DStarLite,repair,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i9,7829,2,0,OK,1,1452,1032,39319,165940,164780,46480,46480,0,none,none,52,48,0,160,v5.2.2,unavailable
